Login_page,Class,Status,DOD,Last_update_date
196131,Economy/Coach,complete,7/19/2015 12:00:00 AM,
536381,Economy/Coach,complete,7/20/2015 12:00:00 AM,
473096,Economy/Coach,complete,7/20/2015 12:00:00 AM,
217320,Economy/Coach,complete,7/20/2015 12:00:00 AM,
198099,Economy/Coach,complete,7/20/2015 12:00:00 AM,
196172,Economy/Coach,complete,7/20/2015 12:00:00 AM,
332972,Economy/Coach,complete,7/20/2015 12:00:00 AM,
254524,Economy/Coach,complete,7/20/2015 12:00:00 AM,
196377,Economy/Coach,complete,7/20/2015 12:00:00 AM,
473324,Economy/Coach,complete,7/20/2015 12:00:00 AM,
536371,Economy/Coach,complete,7/20/2015 12:00:00 AM,
360441,Economy/Coach,complete,7/20/2015 12:00:00 AM,
474943,Business,complete,7/20/2015 12:00:00 AM,
313380,Economy/Coach,complete,7/20/2015 12:00:00 AM,
294777,Business,complete,7/20/2015 12:00:00 AM,
305564,Economy/Coach,complete,7/20/2015 12:00:00 AM,
473160,Economy/Coach,complete,7/20/2015 12:00:00 AM,
635480,Economy/Coach,complete,7/20/2015 12:00:00 AM,
137179,Business,complete,7/20/2015 12:00:00 AM,
330959,Economy/Coach,complete,7/20/2015 12:00:00 AM,
360498,Business,complete,7/20/2015 12:00:00 AM,
314897,Economy/Coach,complete,7/20/2015 12:00:00 AM,
330920,Economy/Coach,complete,7/20/2015 12:00:00 AM,
467752,Economy/Coach,complete,7/20/2015 12:00:00 AM,
311988,Economy/Coach,complete,7/20/2015 12:00:00 AM,
196296,Economy/Coach,complete,7/20/2015 12:00:00 AM,
196272,Economy/Coach,complete,7/20/2015 12:00:00 AM,
294802,Economy/Coach,complete,7/20/2015 12:00:00 AM,
641330,Economy/Coach,complete,7/20/2015 12:00:00 AM,
331398,Economy/Coach,complete,7/20/2015 12:00:00 AM,
294853,Economy/Coach,complete,7/20/2015 12:00:00 AM,
196261,Economy/Coach,complete,7/20/2015 12:00:00 AM,
196046,Economy/Coach,complete,7/20/2015 12:00:00 AM,
330911,Economy/Coach,complete,7/20/2015 12:00:00 AM,
198888,Economy/Coach,complete,7/20/2015 12:00:00 AM,
641328,Economy/Coach,complete,7/20/2015 12:00:00 AM,
531796,Business,complete,7/20/2015 12:00:00 AM,
294872,Economy/Coach,complete,7/20/2015 12:00:00 AM,
531811,Economy/Coach,complete,7/20/2015 12:00:00 AM,
531789,Economy/Coach,complete,7/20/2015 12:00:00 AM,
198902,Economy/Coach,complete,7/21/2015 12:00:00 AM,
294852,Economy/Coach,complete,7/21/2015 12:00:00 AM,
47546,Economy/Coach,complete,7/21/2015 12:00:00 AM,
361999,Economy/Coach,complete,7/21/2015 12:00:00 AM,
196250,Business,complete,7/21/2015 12:00:00 AM,
196403,Economy/Coach,complete,7/21/2015 12:00:00 AM,
344865,Economy/Coach,complete,7/21/2015 12:00:00 AM,
330938,Economy/Coach,complete,7/21/2015 12:00:00 AM,
473413,Business,complete,7/21/2015 12:00:00 AM,
332893,Economy/Coach,complete,7/21/2015 12:00:00 AM,
331462,Economy/Coach,complete,7/21/2015 12:00:00 AM,
196367,Economy/Coach,complete,7/21/2015 12:00:00 AM,
332892,Economy/Coach,complete,7/21/2015 12:00:00 AM,
473363,Economy/Coach,complete,7/21/2015 12:00:00 AM,
196233,Economy/Coach,complete,7/21/2015 12:00:00 AM,
474957,Economy/Coach,complete,7/21/2015 12:00:00 AM,
196049,Economy/Coach,complete,7/21/2015 12:00:00 AM,
474862,Economy/Coach,complete,7/21/2015 12:00:00 AM,
635428,Economy/Coach,complete,7/21/2015 12:00:00 AM,
