Login_page,Class,Status,DOD,Last_update_date
3398881,Economy,complete,7/14/2016 12:00:00 AM,
3977025,Economy,complete,7/14/2016 12:00:00 AM,
4543504,Economy,complete,7/14/2016 12:00:00 AM,
3944538,Economy,complete,7/14/2016 12:00:00 AM,
2689913,Business,complete,7/14/2016 12:00:00 AM,
4065384,Economy,complete,7/14/2016 12:00:00 AM,
3993463,Economy,complete,7/14/2016 12:00:00 AM,
4017560,Economy,complete,7/14/2016 12:00:00 AM,
2726763,Economy,complete,7/14/2016 12:00:00 AM,
4065363,Economy,complete,7/14/2016 12:00:00 AM,
4086651,Economy,complete,7/14/2016 12:00:00 AM,
3987712,Premium Economy,complete,7/14/2016 12:00:00 AM,
4009616,Economy,complete,7/14/2016 12:00:00 AM,
4010273,Economy,complete,7/14/2016 12:00:00 AM,
2731762,Economy,complete,7/14/2016 12:00:00 AM,
3999177,Economy,complete,7/14/2016 12:00:00 AM,
3877473,Economy,complete,7/14/2016 12:00:00 AM,
3445572,Economy,complete,7/14/2016 12:00:00 AM,
3921390,Economy,complete,7/14/2016 12:00:00 AM,
4011413,First,complete,7/14/2016 12:00:00 AM,
3389698,Economy,complete,7/14/2016 12:00:00 AM,
3943056,Economy,complete,7/14/2016 12:00:00 AM,
4057133,Economy,complete,7/14/2016 12:00:00 AM,
3508282,Business,complete,7/14/2016 12:00:00 AM,
2691557,Economy,complete,7/14/2016 12:00:00 AM,
2122180,Business,complete,7/14/2016 12:00:00 AM,
4057491,Economy,complete,7/14/2016 12:00:00 AM,
2135843,Economy,complete,7/14/2016 12:00:00 AM,
3059864,Economy,complete,7/14/2016 12:00:00 AM,
2049951,Economy,complete,7/14/2016 12:00:00 AM,
2725877,Economy,complete,7/14/2016 12:00:00 AM,
4087030,Economy,complete,7/14/2016 12:00:00 AM,
4087031,Economy,complete,7/14/2016 12:00:00 AM,
3389681,Economy,complete,7/14/2016 12:00:00 AM,
3599397,Premium Economy,complete,7/14/2016 12:00:00 AM,
3880828,Business,complete,7/14/2016 12:00:00 AM,
3495269,Economy,complete,7/14/2016 12:00:00 AM,
3944175,Premium Economy,complete,7/14/2016 12:00:00 AM,
3946350,Business,complete,7/14/2016 12:00:00 AM,
4543528,Economy,complete,7/14/2016 12:00:00 AM,
3876177,Premium Economy,complete,7/14/2016 12:00:00 AM,
4032774,Economy,complete,7/14/2016 12:00:00 AM,
3957948,Economy,complete,7/14/2016 12:00:00 AM,
3491403,Business,complete,7/14/2016 12:00:00 AM,
3942734,Premium Economy,complete,7/14/2016 12:00:00 AM,
3945613,Business,complete,7/14/2016 12:00:00 AM,
3712786,Economy,complete,7/14/2016 12:00:00 AM,
3960884,Business,complete,7/14/2016 12:00:00 AM,
3944565,Economy,complete,7/14/2016 12:00:00 AM,
4057104,Economy,complete,7/14/2016 12:00:00 AM,
4057982,Economy,complete,7/14/2016 12:00:00 AM,
3944661,Business,complete,7/14/2016 12:00:00 AM,
3945614,Business,complete,7/14/2016 12:00:00 AM,
3998050,Business,complete,7/14/2016 12:00:00 AM,
3720459,Premium Economy,complete,7/14/2016 12:00:00 AM,
3943293,Economy,complete,7/14/2016 12:00:00 AM,
4428630,Economy,complete,7/14/2016 12:00:00 AM,
4013832,Economy,complete,7/14/2016 12:00:00 AM,
3388972,Economy,complete,7/14/2016 12:00:00 AM,
3314588,Business,complete,7/14/2016 12:00:00 AM,
3999827,Economy,complete,7/14/2016 12:00:00 AM,
4032828,Economy,complete,7/14/2016 12:00:00 AM,
4087086,Business,complete,7/15/2016 12:00:00 AM,
4032780,Economy,complete,7/14/2016 12:00:00 AM,
3942739,Economy,complete,7/14/2016 12:00:00 AM,
3958474,Economy,complete,7/14/2016 12:00:00 AM,
